game_id,game_date,season,team_id,team_abbr,matchup,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,steals,blocks,turnovers,plus_minus,is_home,opponent_abbr,win
0022200406,2022-12-12,2022-23,1610612739,CLE,CLE @ SAS,L,111,0.489,0.941,0.217,21,44,7,7,15,-1.0,0,SAS,0
0022200405,2022-12-12,2022-23,1610612742,DAL,DAL vs. OKC,W,121,0.419,0.84,0.407,24,50,4,3,14,7.0,1,OKC,1
0022200405,2022-12-12,2022-23,1610612760,OKC,OKC @ DAL,L,114,0.477,0.952,0.323,21,42,4,1,13,-7.0,0,DAL,0
0022200395,2022-12-11,2022-23,1610612756,PHX,PHX @ NOP,L,124,0.467,0.765,0.342,34,42,7,5,14,-5.0,0,NOP,0
0022200401,2022-12-11,2022-23,1610612749,MIL,MIL @ HOU,L,92,0.367,0.778,0.279,18,52,5,6,15,-5.0,0,HOU,0
0022200397,2022-12-11,2022-23,1610612752,NYK,NYK vs. SAC,W,112,0.449,0.889,0.229,19,55,8,4,14,13.0,1,SAC,1
0022200393,2022-12-10,2022-23,1610612743,DEN,DEN vs. UTA,W,115,0.547,0.813,0.308,28,39,5,8,8,5.0,1,UTA,1
0022200392,2022-12-10,2022-23,1610612738,BOS,BOS @ GSW,L,107,0.437,0.731,0.3,17,39,8,6,10,-16.0,0,GSW,0
0022200390,2022-12-10,2022-23,1610612739,CLE,CLE vs. OKC,W,110,0.471,0.692,0.375,25,48,6,4,11,8.0,1,OKC,1
0022200390,2022-12-10,2022-23,1610612760,OKC,OKC @ CLE,L,102,0.458,0.8,0.345,25,40,8,6,10,-8.0,0,CLE,0
0022200394,2022-12-10,2022-23,1610612750,MIN,MIN @ POR,L,118,0.542,0.75,0.435,22,28,11,4,13,-6.0,0,POR,0
0022200387,2022-12-10,2022-23,1610612748,MIA,MIA vs. SAS,L,111,0.481,0.714,0.382,26,32,5,3,10,-4.0,1,SAS,0
0022200391,2022-12-10,2022-23,1610612742,DAL,DAL @ CHI,L,115,0.456,0.846,0.25,24,37,5,4,8,-29.0,0,CHI,0
